token_id,token_address,decimals
akropolis-delphi,0x94d863173ee77439e4292284ff13fad54b3ba182,18
aktionariat-outlawz-food-ag-tokenized-shares,0x4e8de529fe22dee9266b029cdfc52142b82e0e2f,0
aktionariat-parknsleep-ag-tokenized-shares,0xa2d6b59758d307df27d5809426252d91a060cb24,18
aktionariat-pension-dynamics-ag-tokenized-shares,0xa995d67fd0187b4b8fea3a60e11f31a08e4ac40b,18
aktionariat-realunit-schweiz-ag-tokenized-shares,0x553c7f9c780316fc1d34b8e14ac2465ab22a090b,18
aktionariat-servicehunter-ag-tokenized-shares,0x8747a3114ef7f0eebd3eb337f745e31dbf81a952,0
aktionariat-tbo-co-comon-accelerator-holding-ag-tokenized-shares,0xb446566d6d644249d5d82aab5fea8a5b7da3f691,0
aktionariat-technologies-of-understanding-ag-tokenized-shares,0xe221db71c5c527149bdf56c4d13a54cf55e543c1,0
aktionariat-alan-frei-company-tokenized-shares,0x56528c1df17fd5451451eb6efde297758bc8f9a1,0
aktionariat-green-consensus-ag-tokenized-shares,0x4e1a609ec87cf6477613f515f6eb64ef2d31089a,0
aktionariat-ehc-kloten-sport-ag-tokenized-shares,0x17f7fea5f87d0f289d9827be78fc96027f8ed724,0
aktionariat-boss-info-ag-tokenized-shares,0x2e880962a9609aa3eab4def919fe9e917e99073b,0
aktionariat-ayurveda-ag-tokenized-shares,0x2adcbee886d23eff5adecc7767bf102e4a1ce151,18
aktionariat-art-leasing-and-invest-ag-tokenized-shares,0xc0da2786176dac9eda661c566828950ca571348c,18
aktionariat-green-monkey-club-ag-tokenized-shares,0x0f4dc5ada841cf5a7652e52d04ae786070cc9472,18
aladdin-cvxcrv,0x2b95a1dcc3d405535f9ed33c219ab38e8d7e0884,18
aladdin-dao,0xb26c4b3ca601136daf98593feaeff9e0ca702a8d,18
aladdin-rusd,0x07d1718ff05a8c53c8f05adaed57c0d672945f9a,18
aladdin-sdcrv,0x43e54c2e7b3e294de3a155785f52ab49d87b9922,18
alan-musk,0x10f2cf6ef155460c5b716080eb57928652867f2e,18
alcatraz,0xfed656555a88c86675d2bf01a3b7861c3f89d478,18
alcazar,0x10f44a834097469ac340592d28c479c442e99bfe,18
alchemist,0x88acdd2a6425c3faae4bc9650fd7e27e0bebb7ab,18
